haskell-blaze-markup 0.8.3.0-139
haskell-boring 0.2.2-2
haskell-bsb-http-chunked 0.0.0.4-523
haskell-byteorder 1.0.4-27
haskell-call-stack 0.4.0-434
haskell-case-insensitive 1.2.1.0-426
haskell-cassava 0.5.4.1-64
haskell-cborg 0.2.10.0-117
haskell-cereal 0.5.8.3-4
haskell-character-ps 0.1-1
haskell-citeproc 0.8.1.1-118
haskell-cmdargs 0.10.22-4
haskell-colour 2.3.7-18
haskell-commonmark 0.2.6.1-33
haskell-commonmark-extensions 0.2.5.6-28
haskell-commonmark-pandoc 0.2.2.3-77
haskell-comonad 5.0.10-10
haskell-conduit 1.3.6.1-164
haskell-conduit-extra 1.3.8-108
haskell-constraints 0.14.3-39
haskell-contravariant 1.5.6-1
haskell-cookie 0.5.0-2
haskell-crypton 1.0.4-36
haskell-crypton-connection 0.4.5-57
haskell-crypton-socks 0.6.2-43
haskell-crypton-x509 1.7.7-92
haskell-crypton-x509-store 1.6.12-29
haskell-crypton-x509-system 1.6.7-164
haskell-crypton-x509-validation 1.6.14-80
haskell-data-default 0.7.1.3-75
haskell-data-default-class 0.1.2.2-2
haskell-data-default-instances-containers 0.1.0.3-4
haskell-data-default-instances-dlist 0.0.1.2-178
haskell-data-default-instances-old-locale 0.0.1.2-2
haskell-data-fix 0.3.4-194
haskell-dec 0.0.6-2
haskell-digest 0.0.2.1-2
haskell-distributive 0.6.3-2
haskell-djot 0.1.2.4-2
haskell-dlist 1.0-428
haskell-doclayout 0.5.0.1-10
haskell-doctemplates 0.11.0.1-108
haskell-easy-file 0.2.5-147
haskell-emojis 0.1.4.1-108
haskell-erf 2.0.0.0-27
haskell-fast-logger 3.2.4-62
haskell-file-embed 0.0.16.0-2
haskell-generically 0.1.1-114
haskell-generics-sop 0.5.1.4-1
haskell-glob 0.10.2-244
haskell-gridtables 0.1.1.0-45
haskell-haddock-library 1.11.0-219
haskell-half 0.3.3-93
haskell-hashable 1.4.7.0-72
haskell-hourglass 0.2.12-372
haskell-hslua 2.3.0-236
haskell-hslua-aeson 2.3.1.1-84
haskell-hslua-classes 2.3.1-55
haskell-hslua-core 2.3.2-57
haskell-hslua-list 1.1.4-54
haskell-hslua-marshalling 2.3.1-165
haskell-hslua-module-doclayout 1.2.0-45
haskell-hslua-module-path 1.1.1-138
haskell-hslua-module-system 1.1.2-79
haskell-hslua-module-text 1.1.0.1-193
haskell-hslua-module-version 1.1.1-180
haskell-hslua-module-zip 1.1.3-73
haskell-hslua-objectorientation 2.3.1-74
haskell-hslua-packaging 2.3.1-176
haskell-hslua-repl 0.1.2-170
haskell-hslua-typing 0.1.1-168
haskell-http-api-data 0.6.1-66
haskell-http-client 0.7.19-83
haskell-http-client-tls 0.3.6.4-170
haskell-http-date 0.0.11-264
haskell-http-media 0.8.1.1-140
haskell-http-types 0.12.4-160
haskell-http2 5.1.2-5
haskell-hunit 1.6.2.0-477
haskell-indexed-traversable 0.1.4-195
haskell-indexed-traversable-instances 0.1.2.1-13
haskell-integer-conversion 0.1.1-80
haskell-integer-logarithms 1.0.4-195
haskell-iproute 1.7.15-110
haskell-ipynb 0.2-314
haskell-isocline 1.0.9-4
haskell-jira-wiki-markup 1.5.1-148
haskell-juicypixels 3.3.9-118
haskell-lexer 1.2-2
haskell-libyaml 0.1.4-192
haskell-lpeg 1.1.0-67
haskell-lua 2.3.4-29
haskell-memory 0.18.0-134
haskell-mime-types 0.1.2.1-1
haskell-mmorph 1.2.2-1
haskell-monad-control 1.0.3.1-320
haskell-mono-traversable 1.0.21.0-166
haskell-network 3.1.4.0-147
haskell-network-bsd 2.8.1.0-337
haskell-network-byte-order 0.1.7-4
haskell-network-control 0.1.3-43
haskell-network-uri 2.6.4.2-160
haskell-old-locale 1.0.0.7-33
haskell-old-time 1.1.0.5-1
haskell-onetuple 0.4.2.1-26
haskell-only 0.1-25
haskell-optparse-applicative 0.18.1.0-350
haskell-ordered-containers 0.2.4-126
haskell-os-string 2.0.10-38
haskell-pandoc 3.6-38
haskell-pandoc-lua-engine 0.4-39
haskell-pandoc-lua-marshal 0.3.0-31
haskell-pandoc-server 0.1.0.10-48
haskell-pandoc-types 1.23.1-195
haskell-pem 0.2.4-412
haskell-pretty-show 1.10-20
haskell-prettyprinter 1.7.1-412
haskell-prettyprinter-ansi-terminal 1.1.4-17
haskell-primitive 0.9.1.0-164
haskell-psqueues 0.2.8.3-23
haskell-quickcheck 2.15.0.1-169
haskell-random 1.2.1.3-255
haskell-recv 0.1.1-97
haskell-regex-base 0.94.0.3-3
haskell-regex-tdfa 1.3.2.5-59
haskell-resourcet 1.2.6-303
haskell-safe 0.3.21-131
haskell-safe-exceptions 0.1.7.4-241
haskell-scientific 0.3.8.1-60
haskell-semialign 1.3.1.1-7
haskell-semigroupoids 6.0.2-28
haskell-serialise 0.2.6.1-205
haskell-servant 0.20.3.0-83
haskell-servant-server 0.20.3.0-104
haskell-simple-sendfile 0.2.32-228
haskell-singleton-bool 0.1.8-72
haskell-skylighting 0.14.4-35
haskell-skylighting-core 0.14.4-35
haskell-skylighting-format-ansi 0.1-325
haskell-skylighting-format-blaze-html 0.1.1.3-179
haskell-skylighting-format-context 0.1.0.2-289
haskell-skylighting-format-latex 0.1-324
haskell-some 1.0.6-98
haskell-sop-core 0.5.0.2-4
haskell-split 0.2.5-187
haskell-splitmix 0.1.3-59
haskell-statevar 1.2.2-5
haskell-streaming-commons 0.2.3.1-29
haskell-strict 0.5.1-87
haskell-syb 0.7.3-113
haskell-tagged 0.8.9-3
haskell-tagsoup 0.14.8-352
haskell-tasty 1.5.2-160
haskell-temporary 1.3-986
haskell-texmath 0.12.8.12-30
haskell-text-conversions 0.3.1.1-190
haskell-text-icu 0.8.0.5-130
haskell-text-iso8601 0.1.1.1-11
haskell-text-short 0.1.6.1-32
haskell-th-abstraction 0.6.0.0-1
haskell-th-compat 0.1.7-23
haskell-th-lift 0.8.7-1
haskell-th-lift-instances 0.1.20-179
haskell-these 1.2.1-297
haskell-time-compat 1.9.9-49
haskell-time-manager 0.0.1-172
haskell-tls 2.0.6-102
haskell-toml-parser 2.0.2.0-13
haskell-transformers-base 0.4.6.1-50
haskell-transformers-compat 0.7.2-4
haskell-typed-process 0.2.13.0-220
haskell-typst 0.6.1-32
haskell-typst-symbols 0.1.7-1
haskell-unicode-collation 0.1.3.6-147
haskell-unicode-data 0.6.0-60
haskell-unicode-transforms 0.4.0.1-203
haskell-uniplate 1.6.13-361
haskell-unix-compat 0.7.4.1-73
haskell-unix-time 0.4.17-95
haskell-unliftio 0.2.25.1-115
haskell-unliftio-core 0.2.1.0-4
haskell-unordered-containers 0.2.20.1-84
haskell-utf8-string 1.0.2-308
haskell-uuid-types 1.0.6.1-8
haskell-vault 0.3.1.6-23
haskell-vector 0.13.2.0-443
haskell-vector-algorithms 0.9.1.0-154
haskell-vector-stream 0.1.0.1-4
haskell-wai 3.2.4-174
haskell-wai-app-static 3.1.9-270
haskell-wai-cors 0.2.7-510
haskell-wai-extra 3.1.18-78
haskell-wai-logger 2.5.0-163
haskell-warp 3.4.0-55
haskell-witherable 0.4.2-257
haskell-word8 0.1.3-25
haskell-xml 1.3.14-33
haskell-xml-conduit 1.9.1.4-182
haskell-xml-types 0.3.8-11
haskell-yaml 0.11.11.2-236
haskell-zip-archive 0.4.3.2-132
haskell-zlib 0.7.1.0-5
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highlight 4.20-1
highway 1.4.0-1
hslua-cli 1.4.3-112
htop 3.5.1-1
hunspell 1.7.3-1
hwdata 0.408-1
hyphen 2.8.9-1
hyprcursor 0.1.13-6
hyprgraphics 0.5.1-2
hypridle 0.1.7-9
hyprland 0.55.3-1
hyprland-guiutils 0.2.1-6
hyprlang 0.6.8-4
hyprlock 0.9.5-4
hyprtoolkit 0.5.4-2
hyprutils 0.13.1-1
hyprwayland-scanner 0.4.6-1
hyprwire 0.3.1-2
iana-etc 20260530-1
icu 78.3-1
iio-sensor-proxy 3.9-1
ijs 0.35-7
imagemagick 7.1.2.25-1
imath 3.2.2-6
imv 5.0.1-1
iniparser 4.2.6-2
intel-ucode 20260512-1
iproute2 7.0.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
jansson 2.15.0-1
java-commons-lang 3.20.0-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-2
jbigkit 2.1-8
jdk-openjdk 26.0.1.u8-1
jdk17-openjdk 17.0.19.u10-1
jdk21-openjdk 21.0.11.u10-1
jq 1.8.1-3
js140 140.11.0-1
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
judy 1.0.5-9
kactivitymanagerd 6.6.5-1
karchive 6.26.0-1
kauth 6.26.0-1
kbd 2.10.0-1
kbookmarks 6.26.0-1
kcmutils 6.26.0-1
kcodecs 6.26.0-1
kcolorscheme 6.26.0-2
kcompletion 6.26.0-1
kconfig 6.26.0-1
kconfigwidgets 6.26.0-1
kcoreaddons 6.26.0-1
kcrash 6.26.0-1
kdbusaddons 6.26.0-1
kde-cli-tools 6.6.5-1
kdeclarative 6.26.0-1
kdecoration 6.6.5-1
kded 6.26.0-1
kdesu 6.26.0-1
kdnssd 6.26.0-1
kdsoap 2.3.0-1
kdsoap-ws-discovery-client 0.4.0-3
keyutils 1.6.3-4
kfilemetadata 6.26.0-1
kglobalaccel 6.26.0-1
kglobalacceld 6.6.5-1
kguiaddons 6.26.0-2
kholidays 1:6.26.0-1
ki18n 6.26.0-1
kiconthemes 6.26.0-1
kidletime 6.26.0-2
kio 6.26.0-1
kio-extras 26.04.2-1
kio-fuse 5.1.1-2
kirigami 6.26.0-2
kirigami-addons 1.12.1-1
kitemmodels 6.26.0-1
kitemviews 6.26.0-1
kitty 0.47.1-1
kitty-shell-integration 0.47.1-1
kitty-terminfo 0.47.1-1
kjobwidgets 6.26.0-1
kmod 34.2-1
knewstuff 6.26.0-1
knighttime 6.6.5-1
knotifications 6.26.0-1
knotifyconfig 6.26.0-1
kpackage 6.26.0-1
kparts 6.26.0-1
kpipewire 6.6.5-1
kpty 6.26.0-1
kquickcharts 6.26.0-2
krb5 1.22.2-1
krunner 6.26.0-1
kscreenlocker 6.6.5-1
kservice 6.26.0-1
kstatusnotifieritem 6.26.0-2
ksvg 6.26.0-2
ksystemstats 6.6.5-2
ktexteditor 6.26.0-1
ktextwidgets 6.26.0-1
kunitconversion 6.26.0-1
kuserfeedback 6.26.0-2
kwallet 6.26.0-1
kwayland 6.6.5-1
kwidgetsaddons 6.26.0-1
kwin 6.6.5-4
kwindowsystem 6.26.0-2
kxmlgui 6.26.0-1
l-smash 2.14.5-4
lame 3.101.r6531-1
layer-shell-qt 6.6.5-2
lcms2 2.19.1-1
ldb 2:4.24.3-1
ldc 3:1.42.0-1
leancrypto 1.7.2-1
leptonica 1.87.0-1
less 1:704-1
lib32-gcc-libs 16.1.1+r12+g301eb08fa2c5-1
lib32-glibc 2.43+r22+g8362e8ce10b2-2
libadwaita 1:1.9.1-1
libaio 0.3.113-4
libappindicator 12.10.1-1
libarchive 3.8.7-1
libasan 16.1.1+r12+g301eb08fa2c5-1
libass 0.17.4-2
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-8
libatomic 16.1.1+r12+g301eb08fa2c5-1
libavc1394 0.5.4-7
libavif 1.4.2-1
libb2 0.98.1-3
libblockdev 3.5.0-2
libblockdev-crypto 3.5.0-2
libblockdev-fs 3.5.0-2
libblockdev-loop 3.5.0-2
libblockdev-mdraid 3.5.0-2
libblockdev-nvme 3.5.0-2
libblockdev-part 3.5.0-2
libblockdev-smart 3.5.0-2
libblockdev-swap 3.5.0-2
libbluray 1.4.1-1
libbpf 1.7.0-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libbytesize 2.12-3
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.78-1
libcap-ng 0.9.3-1
libcbor 0.14.0-1
libcdio 2.3.0-1
libcdio-paranoia 10.2+2.0.2-2
libcloudproviders 0.4.0-1
